iter	Passed	Remaining
0	4	43522
1	6	31914
2	8	27679
3	10	25660
4	12	24479
5	14	23585
6	16	22969
7	18	22528
8	19	22117
9	21	21828
10	23	21606
11	26	21670
12	28	21604
13	30	21443
14	32	21690
15	34	21575
16	36	21489
17	43	23857
18	45	23782
19	47	23587
20	49	23445
21	51	23300
22	53	23133
23	55	23036
24	57	22898
25	59	22765
26	61	22610
27	63	22541
28	65	22486
29	67	22471
30	69	22406
31	71	22336
32	73	22260
33	75	22194
34	77	22148
35	79	22095
36	81	22047
37	83	21984
38	85	21934
39	87	21885
40	89	21832
41	91	21793
42	93	21765
43	95	21713
44	97	21664
45	99	21618
46	101	21571
47	103	21529
48	105	21493
49	107	21450
50	109	21413
51	111	21379
52	113	21345
53	115	21315
54	117	21277
55	119	21246
56	121	21233
57	123	21211
58	125	21198
59	127	21173
60	129	21140
61	131	21117
62	133	21088
63	135	21065
64	137	21033
65	139	21011
66	141	21034
67	143	21009
68	145	20986
69	147	20957
70	149	20930
71	151	20904
72	153	20878
73	155	20859
74	157	20850
75	159	20838
76	161	20820
77	163	20797
78	165	20773
79	167	20756
80	169	20736
81	171	20720
82	173	20702
83	175	20686
84	177	20666
85	179	20650
86	181	20631
87	183	20618
88	184	20600
89	186	20583
90	188	20565
91	190	20550
92	192	20535
93	194	20525
94	196	20512
95	198	20493
96	200	20475
97	202	20457
98	204	20445
99	206	20429
100	208	20416
101	210	20403
102	212	20387
103	214	20375
104	216	20362
105	218	20348
106	219	20337
107	221	20325
108	223	20317
109	225	20302
110	227	20291
111	229	20280
112	231	20269
113	233	20260
114	235	20248
115	237	20233
116	239	20221
117	241	20212
118	243	20204
119	245	20191
120	247	20180
121	249	20174
122	251	20165
123	253	20154
124	255	20145
125	256	20137
126	258	20132
127	260	20120
128	262	20109
129	264	20101
130	266	20095
131	268	20084
132	270	20087
133	272	20078
134	274	20070
135	276	20059
136	278	20052
137	280	20044
138	282	20036
139	284	20027
140	286	20017
141	288	20016
142	290	20008
143	292	20001
144	294	19994
145	296	19984
146	298	19976
147	299	19969
148	301	19960
149	303	19956
150	305	19953
151	307	19944
152	309	19943
153	311	19935
154	313	19929
155	315	19922
156	317	19918
157	319	19911
158	321	19907
159	323	19902
160	325	19892
161	327	19885
162	329	19877
163	331	19871
164	333	19869
165	335	19862
166	337	19857
167	339	19852
168	341	19848
169	343	19840
170	345	19832
171	346	19825
172	348	19820
173	350	19813
174	352	19808
175	354	19804
176	356	19799
177	358	19791
178	360	19790
179	362	19782
180	364	19774
181	366	19768
182	368	19762
183	370	19756
184	372	19752
185	374	19746
186	376	19744
187	378	19736
188	380	19730
189	381	19722
190	383	19715
191	385	19712
192	387	19709
193	389	19704
194	391	19701
195	393	19697
196	395	19693
197	397	19687
198	399	19685
199	401	19680
200	403	19675
201	405	19669
202	407	19664
203	409	19658
204	411	19654
205	413	19650
206	415	19649
207	417	19644
208	419	19640
209	421	19639
210	423	19636
211	425	19633
212	427	19632
213	429	19630
214	431	19624
215	433	19621
216	435	19615
217	437	19610
218	439	19607
219	441	19604
220	442	19600
221	444	19595
222	446	19591
223	448	19588
224	450	19584
225	452	19580
226	454	19575
227	456	19575
228	458	19572
229	460	19567
230	462	19564
231	464	19559
232	466	19554
233	468	19550
234	470	19549
235	472	19557
236	474	19555
237	476	19552
238	478	19549
239	480	19547
240	482	19546
241	484	19549
242	486	19545
243	488	19542
244	490	19538
245	492	19535
246	494	19530
247	496	19527
248	498	19523
249	500	19518
250	502	19518
251	504	19514
252	506	19508
253	508	19503
254	510	19499
255	512	19496
256	514	19492
257	516	19489
258	518	19487
259	520	19484
260	522	19478
261	523	19475
262	525	19471
263	527	19467
264	529	19463
265	531	19460
266	533	19458
267	535	19454
268	537	19451
269	539	19444
270	541	19440
271	543	19437
272	545	19437
273	547	19434
274	549	19433
275	551	19429
276	553	19429
277	555	19426
278	557	19422
279	559	19419
280	561	19416
281	563	19411
282	565	19406
283	567	19401
284	569	19399
285	571	19396
286	573	19394
287	575	19390
288	576	19385
289	578	19383
290	580	19384
291	583	19383
292	584	19379
293	586	19375
294	588	19373
295	590	19370
296	592	19366
297	594	19362
298	596	19367
299	598	19362
300	600	19359
301	602	19354
302	604	19352
303	606	19350
304	608	19347
305	610	19344
306	612	19341
307	614	19337
308	616	19334
309	618	19330
310	620	19329
311	622	19327
312	624	19323
313	626	19319
314	628	19319
315	630	19316
316	632	19312
317	634	19309
318	636	19305
319	638	19301
320	639	19297
321	641	19293
322	643	19289
323	645	19290
324	647	19288
325	649	19287
326	651	19283
327	653	19282
328	655	19279
329	658	19281
330	660	19282
331	662	19279
332	663	19275
333	665	19271
334	667	19271
335	669	19266
336	671	19266
337	673	19264
338	675	19262
339	677	19258
340	679	19255
341	682	19259
342	683	19257
343	685	19253
344	687	19251
345	689	19249
346	691	19246
347	693	19242
348	695	19244
349	697	19240
350	699	19239
351	701	19237
352	703	19234
353	705	19231
354	707	19227
355	709	19224
356	711	19221
357	713	19216
358	715	19215
359	717	19214
360	719	19212
361	721	19210
362	723	19207
363	725	19203
364	727	19199
365	729	19197
366	731	19197
367	733	19194
368	735	19191
369	737	19188
370	739	19185
371	741	19181
372	743	19181
373	745	19180
374	747	19177
375	749	19176
376	751	19174
377	753	19171
378	755	19168
379	757	19165
380	759	19162
381	761	19162
382	763	19160
383	764	19156
384	766	19153
385	768	19151
386	770	19149
387	772	19148
388	774	19146
389	776	19143
390	778	19142
391	780	19140
392	782	19137
393	784	19135
394	786	19132
395	788	19130
396	790	19128
397	792	19127
398	794	19124
399	796	19122
400	798	19120
401	800	19118
402	802	19115
403	804	19112
404	806	19109
405	808	19108
406	810	19105
407	812	19104
408	814	19102
409	816	19101
410	818	19098
411	820	19096
412	822	19094
413	824	19092
414	826	19091
415	828	19088
416	830	19087
417	832	19085
418	834	19083
419	836	19081
420	838	19079
421	840	19078
422	842	19077
423	844	19074
424	846	19071
425	848	19069
426	850	19065
427	852	19062
428	854	19058
429	856	19056
430	858	19053
431	860	19049
432	862	19046
433	864	19044
434	865	19041
435	867	19038
436	869	19035
437	871	19033
438	873	19029
439	875	19027
440	877	19024
441	879	19022
442	881	19020
443	883	19017
444	885	19014
445	887	19011
446	889	19009
447	891	19007
448	893	19003
449	895	19001
450	897	18997
451	899	18993
452	901	18991
453	903	18988
454	905	18986
455	907	18985
456	909	18983
457	911	18981
458	913	18980
459	915	18979
460	917	18977
461	919	18975
462	921	18973
463	923	18972
464	925	18970
465	927	18969
466	929	18967
467	931	18965
468	933	18963
469	935	18961
470	937	18958
471	939	18955
472	940	18952
473	942	18949
474	944	18945
475	946	18942
476	948	18940
477	950	18937
478	952	18935
479	954	18933
480	956	18930
481	958	18928
482	960	18926
483	962	18923
484	964	18921
485	966	18918
486	968	18918
487	970	18915
488	972	18913
489	974	18910
490	976	18908
491	978	18905
492	980	18902
493	982	18900
494	984	18898
495	986	18896
496	988	18894
497	990	18893
498	992	18890
499	994	18888
500	996	18885
501	998	18882
502	1000	18882
503	1001	18878
504	1003	18876
505	1005	18874
506	1007	18871
507	1009	18869
508	1011	18867
509	1013	18864
510	1015	18862
511	1017	18861
512	1019	18859
513	1021	18856
514	1023	18854
515	1025	18851
516	1027	18849
517	1029	18847
518	1031	18845
519	1033	18842
520	1035	18839
521	1037	18837
522	1039	18835
523	1041	18832
524	1043	18829
525	1045	18828
526	1047	18827
527	1049	18824
528	1051	18821
529	1053	18819
530	1055	18816
531	1057	18814
532	1059	18811
533	1061	18809
534	1063	18806
535	1065	18804
536	1066	18802
537	1069	18801
538	1070	18798
539	1072	18795
540	1074	18793
541	1076	18790
542	1078	18787
543	1080	18785
544	1082	18783
545	1084	18781
546	1086	18777
547	1088	18775
548	1090	18772
549	1092	18770
550	1094	18766
551	1096	18763
552	1098	18761
553	1100	18758
554	1102	18756
555	1104	18754
556	1106	18754
557	1108	18751
558	1110	18749
559	1112	18745
560	1113	18743
561	1115	18741
562	1117	18738
563	1119	18736
564	1121	18734
565	1123	18733
566	1125	18731
567	1127	18728
568	1129	18726
569	1131	18723
570	1133	18721
571	1135	18718
572	1137	18716
573	1139	18715
574	1141	18713
575	1143	18711
576	1145	18708
577	1147	18705
578	1149	18703
579	1151	18701
580	1153	18698
581	1155	18696
582	1157	18694
583	1159	18692
584	1161	18691
585	1163	18688
586	1165	18686
587	1167	18684
588	1169	18683
589	1171	18681
590	1173	18679
591	1175	18677
592	1177	18675
593	1179	18674
594	1181	18673
595	1183	18671
596	1185	18669
597	1187	18668
598	1189	18666
599	1191	18664
600	1193	18663
601	1195	18661
602	1197	18659
603	1199	18657
604	1201	18655
605	1203	18654
606	1205	18652
607	1207	18650
608	1209	18648
609	1211	18646
610	1213	18644
611	1215	18642
612	1217	18640
613	1219	18638
614	1221	18637
615	1224	18646
616	1225	18644
617	1228	18643
618	1230	18641
619	1231	18638
620	1233	18635
621	1235	18633
622	1237	18630
623	1239	18628
624	1241	18625
625	1243	18623
626	1245	18621
627	1247	18620
628	1249	18617
629	1251	18615
630	1253	18613
631	1255	18615
632	1257	18613
633	1259	18611
634	1261	18610
635	1263	18609
636	1265	18607
637	1267	18605
638	1269	18603
639	1271	18600
640	1273	18597
641	1275	18595
642	1277	18593
643	1279	18591
644	1281	18588
645	1283	18586
646	1285	18584
647	1287	18581
648	1289	18579
649	1291	18578
650	1293	18576
651	1295	18573
652	1297	18570
653	1299	18568
654	1301	18565
655	1303	18563
656	1305	18560
657	1307	18559
658	1309	18556
659	1311	18554
660	1313	18552
661	1315	18549
662	1317	18547
663	1318	18545
664	1320	18542
665	1322	18539
666	1325	18540
667	1326	18537
668	1328	18535
669	1330	18532
670	1332	18530
671	1334	18527
672	1336	18524
673	1338	18522
674	1340	18519
675	1342	18517
676	1344	18515
677	1346	18513
678	1348	18510
679	1350	18507
680	1352	18505
681	1354	18503
682	1356	18502
683	1358	18500
684	1360	18497
685	1362	18495
686	1364	18493
687	1366	18490
688	1368	18488
689	1370	18486
690	1372	18483
691	1373	18481
692	1375	18479
693	1377	18476
694	1379	18474
695	1381	18471
696	1383	18469
697	1385	18467
698	1387	18464
699	1389	18462
700	1391	18460
701	1393	18458
702	1395	18456
703	1397	18454
704	1399	18452
705	1401	18450
706	1403	18447
707	1405	18444
708	1407	18443
709	1409	18442
710	1411	18439
711	1413	18437
712	1415	18433
713	1417	18431
714	1419	18428
715	1421	18426
716	1423	18424
717	1425	18422
718	1427	18420
719	1428	18418
720	1430	18415
721	1432	18411
722	1434	18409
723	1436	18407
724	1438	18405
725	1440	18402
726	1442	18400
727	1444	18398
728	1446	18395
729	1448	18393
730	1450	18391
731	1452	18390
732	1454	18387
733	1456	18385
734	1458	18382
735	1460	18379
736	1462	18376
737	1464	18374
738	1466	18372
739	1467	18369
740	1469	18366
