iter	Passed	Remaining
741	1471	18365
742	1473	18363
743	1475	18361
744	1477	18359
745	1479	18357
746	1481	18355
747	1483	18353
748	1485	18350
749	1487	18348
750	1489	18346
751	1491	18344
752	1493	18341
753	1495	18339
754	1497	18337
755	1499	18334
756	1501	18331
757	1503	18329
758	1505	18326
759	1507	18324
760	1509	18322
761	1511	18320
762	1513	18317
763	1515	18315
764	1517	18314
765	1519	18312
766	1521	18310
767	1522	18307
768	1524	18305
769	1526	18303
770	1528	18301
771	1530	18299
772	1532	18296
773	1534	18295
774	1536	18292
775	1538	18289
776	1540	18288
777	1542	18287
778	1544	18285
779	1546	18284
780	1548	18281
781	1550	18279
782	1552	18277
783	1554	18275
784	1556	18273
785	1558	18272
786	1560	18270
787	1562	18267
788	1564	18265
789	1566	18263
790	1568	18261
791	1570	18259
792	1572	18256
793	1574	18255
794	1576	18252
795	1578	18251
796	1580	18249
797	1582	18246
798	1584	18244
799	1586	18241
800	1588	18239
801	1590	18236
802	1592	18234
803	1593	18231
804	1595	18230
805	1597	18227
806	1599	18225
807	1601	18223
808	1603	18221
809	1605	18219
810	1607	18219
811	1609	18216
812	1611	18213
813	1613	18211
814	1615	18209
815	1617	18207
816	1619	18204
817	1621	18202
818	1623	18201
819	1625	18198
820	1627	18196
821	1629	18194
822	1631	18191
823	1633	18189
824	1635	18187
825	1637	18184
826	1639	18182
827	1641	18180
828	1643	18178
829	1645	18176
830	1647	18174
831	1649	18173
832	1651	18170
833	1653	18168
834	1655	18166
835	1657	18164
836	1659	18161
837	1660	18159
838	1662	18157
839	1665	18159
840	1667	18157
841	1669	18155
842	1671	18152
843	1673	18150
844	1675	18148
845	1677	18146
846	1678	18143
847	1680	18140
848	1682	18139
849	1684	18137
850	1686	18134
851	1688	18132
852	1690	18129
853	1692	18127
854	1694	18125
855	1696	18122
856	1698	18120
857	1700	18118
858	1702	18116
859	1704	18113
860	1706	18111
861	1708	18108
862	1710	18106
863	1712	18103
864	1713	18100
865	1715	18098
866	1717	18096
867	1719	18094
868	1721	18092
869	1723	18090
870	1725	18087
871	1727	18085
872	1729	18083
873	1731	18080
874	1733	18077
875	1735	18074
876	1737	18072
877	1739	18070
878	1741	18067
879	1743	18066
880	1745	18063
881	1747	18061
882	1749	18059
883	1750	18056
884	1752	18054
885	1754	18050
886	1756	18048
887	1758	18046
888	1760	18044
889	1762	18040
890	1764	18038
891	1766	18036
892	1768	18033
893	1770	18032
894	1772	18030
895	1774	18028
896	1776	18025
897	1778	18022
898	1780	18020
899	1782	18018
900	1783	18015
901	1785	18013
902	1787	18011
903	1789	18008
904	1791	18006
905	1793	18004
906	1795	18002
907	1797	17999
908	1799	17997
909	1801	17994
910	1803	17992
911	1805	17990
912	1807	17987
913	1809	17985
914	1811	17983
915	1813	17981
916	1815	17978
917	1817	17976
918	1819	17974
919	1820	17971
920	1822	17970
921	1824	17967
922	1826	17966
923	1828	17964
924	1830	17961
925	1832	17958
926	1834	17956
927	1836	17954
928	1838	17951
929	1840	17949
930	1842	17947
931	1844	17945
932	1846	17942
933	1848	17940
934	1850	17938
935	1852	17936
936	1854	17934
937	1856	17932
938	1858	17930
939	1860	17931
940	1862	17928
941	1864	17926
942	1866	17924
943	1868	17922
944	1870	17920
945	1872	17917
946	1874	17915
947	1876	17913
948	1878	17911
949	1879	17909
950	1881	17907
951	1883	17904
952	1885	17903
953	1887	17901
954	1889	17899
955	1891	17897
956	1893	17895
957	1895	17892
958	1897	17891
959	1899	17889
960	1901	17886
961	1903	17885
962	1905	17882
963	1907	17880
964	1909	17877
965	1911	17875
966	1913	17873
967	1915	17871
968	1917	17868
969	1919	17865
970	1921	17863
971	1923	17860
972	1924	17858
973	1926	17856
974	1928	17854
975	1930	17852
976	1932	17849
977	1934	17846
978	1936	17845
979	1938	17842
980	1940	17840
981	1942	17837
982	1944	17835
983	1946	17833
984	1948	17831
985	1950	17828
986	1952	17826
987	1954	17823
988	1955	17821
989	1957	17818
990	1959	17816
991	1961	17814
992	1963	17811
993	1965	17810
994	1967	17807
995	1969	17805
996	1971	17803
997	1973	17801
998	1975	17798
999	1977	17796
1000	1979	17794
1001	1981	17792
1002	1983	17789
1003	1985	17787
1004	1987	17784
1005	1989	17782
1006	1990	17780
1007	1992	17777
1008	1994	17775
1009	1996	17773
1010	1998	17770
1011	2000	17768
1012	2002	17766
1013	2004	17764
1014	2006	17763
1015	2008	17762
1016	2010	17759
1017	2012	17757
1018	2014	17755
1019	2016	17752
1020	2018	17750
1021	2020	17748
1022	2022	17745
1023	2024	17743
1024	2026	17741
1025	2028	17739
1026	2030	17737
1027	2031	17734
1028	2033	17732
1029	2035	17729
1030	2037	17727
1031	2039	17725
1032	2041	17723
1033	2043	17721
1034	2045	17719
1035	2047	17716
1036	2049	17714
1037	2051	17713
1038	2053	17711
1039	2055	17709
1040	2057	17706
1041	2059	17704
1042	2061	17701
1043	2063	17699
1044	2065	17697
1045	2067	17695
1046	2069	17692
1047	2071	17690
1048	2073	17692
1049	2075	17689
1050	2077	17688
1051	2079	17686
1052	2081	17683
1053	2083	17681
1054	2085	17678
1055	2086	17676
1056	2089	17676
1057	2091	17673
1058	2093	17671
1059	2094	17669
1060	2096	17666
1061	2098	17664
1062	2100	17662
1063	2102	17659
1064	2104	17657
1065	2106	17656
1066	2108	17654
1067	2110	17652
1068	2112	17649
1069	2114	17647
1070	2116	17644
1071	2118	17641
1072	2120	17639
1073	2122	17637
1074	2124	17635
1075	2126	17633
1076	2128	17631
1077	2129	17628
1078	2131	17626
1079	2133	17624
1080	2135	17622
1081	2137	17619
1082	2139	17617
1083	2141	17615
1084	2143	17613
1085	2145	17611
1086	2147	17609
1087	2149	17607
1088	2151	17604
1089	2153	17602
1090	2155	17600
1091	2157	17597
1092	2159	17594
1093	2161	17592
1094	2162	17590
1095	2164	17588
1096	2166	17586
1097	2168	17583
1098	2170	17581
1099	2172	17579
1100	2174	17576
1101	2176	17574
1102	2178	17571
1103	2180	17569
1104	2182	17567
1105	2184	17565
1106	2186	17563
1107	2188	17561
1108	2190	17558
1109	2192	17556
1110	2193	17553
1111	2195	17551
1112	2197	17549
1113	2199	17547
1114	2201	17545
1115	2203	17543
1116	2205	17541
1117	2207	17539
1118	2209	17536
1119	2211	17534
1120	2213	17533
1121	2215	17531
1122	2217	17529
1123	2219	17527
1124	2221	17524
1125	2223	17522
1126	2225	17520
1127	2227	17518
1128	2229	17516
1129	2231	17514
1130	2233	17512
1131	2235	17510
1132	2237	17507
1133	2239	17505
1134	2241	17503
1135	2242	17501
1136	2244	17499
1137	2246	17496
1138	2248	17494
1139	2250	17493
1140	2252	17491
1141	2254	17489
1142	2256	17487
1143	2258	17484
1144	2260	17482
1145	2262	17480
1146	2264	17478
1147	2266	17478
1148	2268	17476
1149	2270	17474
1150	2272	17472
1151	2274	17470
1152	2276	17467
1153	2278	17466
1154	2280	17463
1155	2282	17461
1156	2284	17459
1157	2286	17457
1158	2288	17455
1159	2290	17453
1160	2292	17451
1161	2294	17449
1162	2296	17447
1163	2298	17446
1164	2300	17444
1165	2302	17443
1166	2304	17441
1167	2306	17440
1168	2308	17438
1169	2310	17436
1170	2312	17434
1171	2314	17432
1172	2316	17430
1173	2318	17428
1174	2320	17426
1175	2322	17424
1176	2324	17422
1177	2326	17421
1178	2328	17419
1179	2330	17417
1180	2332	17415
1181	2334	17413
1182	2336	17411
1183	2338	17409
1184	2340	17407
1185	2342	17405
1186	2343	17403
1187	2345	17401
1188	2347	17398
1189	2349	17396
1190	2351	17394
1191	2353	17392
1192	2355	17390
1193	2357	17388
1194	2359	17386
1195	2361	17384
1196	2363	17382
1197	2365	17380
1198	2367	17378
1199	2369	17376
1200	2371	17374
1201	2373	17372
1202	2375	17371
1203	2377	17369
1204	2379	17367
1205	2381	17365
1206	2383	17363
1207	2385	17361
1208	2387	17359
1209	2389	17357
1210	2391	17354
1211	2393	17352
1212	2395	17350
1213	2397	17348
1214	2399	17346
1215	2401	17344
1216	2403	17342
1217	2405	17340
1218	2407	17338
1219	2408	17336
1220	2410	17334
1221	2412	17332
1222	2414	17329
1223	2416	17327
1224	2418	17325
1225	2420	17323
1226	2422	17322
1227	2424	17320
1228	2426	17318
1229	2428	17316
1230	2430	17314
1231	2432	17312
1232	2434	17310
1233	2436	17307
1234	2438	17305
1235	2440	17302
1236	2442	17300
1237	2444	17298
1238	2446	17296
1239	2447	17293
1240	2450	17292
1241	2452	17290
1242	2453	17288
1243	2455	17285
1244	2457	17283
1245	2459	17281
1246	2461	17278
1247	2463	17276
1248	2465	17274
1249	2467	17271
1250	2469	17269
1251	2471	17267
1252	2473	17265
1253	2475	17263
1254	2477	17261
1255	2479	17258
1256	2481	17256
1257	2482	17254
1258	2484	17251
1259	2486	17249
1260	2488	17248
1261	2490	17245
1262	2492	17243
1263	2494	17241
1264	2496	17239
1265	2498	17237
1266	2500	17235
1267	2502	17233
1268	2504	17231
1269	2506	17228
1270	2508	17226
1271	2510	17223
1272	2512	17221
1273	2514	17219
1274	2515	17216
1275	2517	17214
1276	2519	17213
1277	2521	17211
1278	2523	17208
1279	2525	17206
1280	2527	17204
1281	2529	17201
1282	2531	17199
1283	2533	17197
1284	2535	17194
1285	2537	17192
1286	2539	17191
1287	2541	17188
1288	2543	17186
1289	2545	17184
1290	2547	17182
1291	2549	17180
1292	2551	17178
1293	2552	17176
1294	2554	17173
1295	2556	17171
1296	2558	17169
1297	2561	17170
1298	2563	17168
1299	2565	17166
1300	2566	17163
1301	2568	17161
1302	2570	17159
1303	2572	17157
1304	2574	17155
1305	2576	17153
1306	2578	17151
1307	2580	17149
1308	2582	17147
1309	2584	17146
1310	2586	17144
1311	2588	17142
1312	2590	17139
1313	2592	17137
1314	2594	17136
1315	2596	17134
1316	2598	17132
1317	2600	17130
1318	2602	17128
1319	2604	17126
1320	2606	17124
1321	2608	17122
1322	2610	17120
1323	2612	17118
1324	2614	17116
1325	2616	17114
1326	2618	17111
1327	2620	17109
1328	2622	17107
1329	2624	17105
1330	2626	17104
1331	2628	17103
1332	2630	17101
1333	2632	17099
1334	2634	17097
1335	2636	17095
1336	2638	17093
1337	2640	17092
1338	2642	17090
1339	2644	17088
1340	2646	17086
1341	2648	17084
1342	2650	17082
1343	2652	17080
1344	2653	17078
1345	2656	17077
1346	2658	17074
1347	2660	17073
1348	2662	17071
1349	2664	17069
1350	2665	17067
1351	2668	17066
1352	2670	17064
1353	2672	17062
1354	2673	17059
1355	2675	17057
1356	2677	17055
1357	2679	17052
1358	2681	17052
1359	2683	17050
1360	2685	17048
1361	2687	17046
1362	2689	17044
1363	2691	17041
1364	2693	17039
1365	2695	17037
1366	2697	17035
1367	2699	17032
1368	2701	17030
1369	2703	17028
1370	2705	17026
1371	2707	17024
1372	2709	17021
1373	2711	17019
1374	2712	17017
1375	2714	17015
1376	2716	17013
1377	2718	17011
1378	2720	17009
1379	2722	17007
1380	2724	17005
1381	2726	17003
1382	2728	17001
1383	2730	16999
1384	2732	16996
1385	2734	16994
1386	2736	16992
1387	2738	16990
1388	2740	16989
1389	2742	16989
1390	2744	16987
1391	2746	16984
1392	2748	16982
1393	2750	16980
1394	2752	16979
1395	2754	16976
1396	2756	16974
1397	2758	16972
1398	2760	16970
1399	2762	16968
1400	2764	16967
1401	2766	16964
1402	2768	16962
1403	2770	16960
1404	2772	16958
1405	2774	16956
1406	2776	16954
1407	2778	16952
1408	2779	16950
1409	2781	16947
1410	2783	16945
1411	2785	16943
1412	2787	16941
1413	2789	16939
1414	2791	16937
1415	2793	16935
1416	2795	16932
1417	2797	16930
1418	2799	16928
1419	2801	16926
1420	2803	16923
1421	2805	16921
1422	2807	16919
1423	2809	16917
1424	2810	16915
1425	2812	16912
1426	2814	16910
1427	2816	16909
1428	2818	16907
1429	2820	16905
1430	2822	16903
1431	2824	16900
1432	2826	16900
1433	2828	16897
1434	2830	16895
1435	2832	16893
1436	2834	16891
1437	2836	16889
1438	2838	16887
1439	2840	16885
1440	2842	16883
1441	2844	16881
1442	2846	16879
1443	2848	16877
1444	2850	16874
1445	2852	16872
1446	2854	16870
1447	2856	16869
1448	2858	16866
1449	2860	16865
1450	2862	16863
1451	2864	16860
1452	2865	16858
1453	2867	16856
1454	2869	16854
1455	2872	16855
1456	2874	16853
1457	2876	16850
1458	2878	16848
1459	2880	16846
1460	2881	16843
1461	2883	16841
1462	2885	16839
1463	2887	16837
1464	2889	16835
1465	2891	16833
1466	2893	16831
1467	2895	16829
1468	2897	16826
1469	2900	16830
1470	2902	16828
1471	2904	16826
1472	2906	16824
1473	2908	16822
1474	2910	16820
1475	2912	16818
1476	2914	16816
1477	2916	16814
1478	2918	16812
1479	2920	16810
1480	2922	16808
1481	2924	16806
1482	2925	16804
1483	2927	16802
1484	2929	16800
1485	2931	16798
1486	2933	16796
1487	2935	16794
1488	2937	16792
1489	2939	16790
1490	2941	16788
1491	2943	16786
1492	2945	16784
1493	2947	16782
1494	2949	16780
1495	2951	16778
1496	2953	16775
1497	2955	16773
1498	2957	16772
1499	2959	16769
1500	2961	16768
1501	2963	16766
1502	2965	16764
1503	2967	16762
1504	2969	16760
1505	2971	16757
1506	2973	16755
1507	2975	16753
1508	2976	16751
1509	2978	16749
1510	2980	16747
1511	2982	16745
1512	2984	16743
1513	2986	16740
1514	2988	16738
1515	2990	16736
1516	2992	16734
1517	2994	16732
1518	2996	16730
1519	2998	16728
1520	3000	16726
1521	3002	16724
1522	3004	16722
1523	3006	16720
1524	3008	16718
1525	3010	16716
1526	3012	16713
1527	3014	16711
1528	3016	16710
1529	3018	16707
1530	3020	16705
1531	3022	16704
1532	3024	16702
1533	3026	16700
1534	3028	16698
1535	3029	16696
1536	3031	16694
1537	3033	16692
1538	3035	16690
1539	3037	16688
1540	3039	16686
1541	3041	16684
1542	3043	16681
1543	3045	16679
1544	3047	16677
1545	3049	16675
1546	3051	16673
1547	3053	16672
1548	3055	16669
1549	3057	16667
1550	3059	16665
1551	3061	16663
1552	3063	16661
1553	3065	16659
1554	3067	16657
1555	3069	16655
1556	3071	16653
1557	3073	16651
1558	3074	16648
1559	3076	16646
1560	3078	16644
1561	3080	16642
1562	3082	16640
1563	3084	16637
1564	3086	16635
1565	3088	16633
1566	3090	16631
1567	3092	16628
1568	3094	16627
1569	3096	16625
1570	3098	16623
1571	3100	16621
1572	3102	16619
1573	3104	16617
1574	3106	16615
1575	3108	16612
1576	3109	16610
1577	3111	16608
1578	3113	16606
1579	3115	16604
1580	3117	16601
1581	3119	16599
1582	3121	16597
1583	3123	16595
1584	3125	16593
1585	3127	16591
1586	3129	16589
1587	3131	16586
1588	3133	16584
1589	3135	16582
1590	3137	16580
1591	3138	16578
1592	3140	16576
1593	3142	16573
1594	3144	16571
1595	3146	16569
1596	3148	16567
1597	3150	16565
1598	3152	16563
1599	3154	16561
1600	3156	16559
1601	3158	16557
1602	3160	16555
1603	3162	16552
1604	3164	16550
1605	3166	16548
1606	3168	16546
1607	3170	16544
1608	3171	16541
1609	3173	16539
1610	3175	16537
1611	3177	16535
1612	3179	16532
1613	3181	16531
1614	3183	16528
1615	3185	16526
1616	3187	16524
1617	3189	16522
1618	3191	16520
1619	3193	16518
1620	3195	16516
1621	3197	16514
1622	3199	16512
1623	3201	16509
1624	3203	16507
1625	3204	16505
1626	3206	16503
1627	3208	16501
1628	3210	16500
1629	3212	16498
1630	3214	16496
1631	3216	16493
1632	3218	16491
1633	3220	16489
1634	3222	16486
1635	3224	16484
1636	3226	16482
1637	3228	16480
1638	3230	16477
1639	3232	16475
1640	3234	16473
1641	3236	16471
1642	3237	16469
1643	3239	16467
1644	3241	16465
1645	3243	16463
1646	3245	16460
1647	3247	16458
1648	3249	16457
1649	3251	16455
1650	3253	16452
1651	3255	16450
1652	3257	16448
1653	3259	16446
1654	3261	16444
1655	3263	16442
1656	3265	16440
1657	3267	16438
1658	3269	16436
1659	3271	16434
1660	3272	16431
1661	3274	16429
1662	3276	16427
1663	3278	16425
1664	3280	16423
1665	3282	16421
1666	3284	16419
1667	3286	16417
1668	3288	16415
1669	3290	16412
1670	3292	16410
1671	3294	16409
1672	3296	16407
1673	3298	16404
1674	3300	16402
1675	3302	16400
1676	3304	16398
1677	3306	16396
1678	3307	16394
1679	3309	16392
1680	3311	16390
1681	3313	16387
1682	3315	16385
1683	3317	16383
1684	3319	16381
1685	3321	16378
1686	3323	16377
1687	3325	16374
1688	3327	16372
1689	3329	16372
1690	3331	16370
1691	3333	16368
1692	3335	16365
1693	3337	16364
1694	3339	16362
1695	3341	16359
1696	3343	16357
1697	3345	16355
1698	3347	16353
1699	3349	16351
1700	3351	16349
1701	3353	16347
1702	3355	16345
1703	3357	16343
1704	3358	16341
1705	3360	16339
1706	3362	16337
1707	3364	16334
1708	3366	16333
1709	3368	16330
1710	3370	16328
1711	3372	16327
1712	3374	16324
1713	3376	16322
1714	3378	16320
1715	3380	16318
1716	3382	16316
1717	3384	16313
1718	3386	16311
