mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_temperature,param_border_count,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
98.25690428415935,2.273679278939064,0.10908643404642741,0.11834879812366925,5,64,4,800,1,0.05,"{'bagging_temperature': 5, 'border_count': 64, 'depth': 4, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",-29548.814233253706,-30355.848761643174,-30121.857266325085,-30008.840087073986,339.02393682217433,4
94.8519705136617,3.0759166689146435,0.1641699473063151,0.1537200479443897,5,64,4,800,1,0.01,"{'bagging_temperature': 5, 'border_count': 64, 'depth': 4, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",-31424.36279534859,-32739.201618498573,-32094.736555496853,-32086.10032311467,536.8154376182615,43
129.93694305419922,3.0387728484361953,0.0982811450958252,0.10515686986264326,5,64,10,800,1,0.1,"{'bagging_temperature': 5, 'border_count': 64, 'depth': 10, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",-31511.149795107183,-32657.734722389887,-32344.80731834384,-32171.23061194697,483.9152154531889,46
124.89990170796712,2.3642302699934548,0.06065217653910319,0.06830765799412956,5,64,10,800,1,0.05,"{'bagging_temperature': 5, 'border_count': 64, 'depth': 10, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",-30727.462631036615,-31771.925205239106,-31624.7324993894,-31374.706778555043,461.59878901955494,28
119.71484239896138,6.127188803293577,0.051162163416544594,0.0378732679545061,5,64,10,800,1,0.01,"{'bagging_temperature': 5, 'border_count': 64, 'depth': 10, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",-30256.102967524188,-31551.05128911573,-31253.629404747513,-31020.261220462475,553.8160470622948,22
85.84124096234639,1.1561598706468974,0.13907098770141602,0.07242170395477217,5,128,2,800,1,0.1,"{'bagging_temperature': 5, 'border_count': 128, 'depth': 2, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",-30166.023560090664,-31290.785652068287,-31017.981978861684,-30824.930397006876,479.04357897095485,13
82.78336715698242,1.5925786762015832,0.19474498430887857,0.17504935742817218,5,128,2,800,1,0.05,"{'bagging_temperature': 5, 'border_count': 128, 'depth': 2, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",-30795.110533572195,-31980.679241358877,-31646.62195125548,-31474.13724206218,499.13693605387033,31
83.996151526769,2.7359747057008748,0.13684797286987305,0.09566510970884272,5,128,2,800,1,0.01,"{'bagging_temperature': 5, 'border_count': 128, 'depth': 2, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",-35484.642416470735,-36809.117917628915,-35957.60676705302,-36083.789033717556,548.0269528697189,52
89.03590575853984,1.2465791893578502,0.07598288853963216,0.005485183268173613,5,128,4,800,1,0.1,"{'bagging_temperature': 5, 'border_count': 128, 'depth': 4, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",-29565.457161328628,-30568.975097842613,-30303.014892695857,-30145.81571728903,424.49636652372004,7
83.66074228286743,1.4011393817923248,0.06109825770060221,0.059145924646365505,5,128,4,800,1,0.05,"{'bagging_temperature': 5, 'border_count': 128, 'depth': 4, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",-29462.99854575298,-30372.13681927637,-30075.70748359563,-29970.28094954166,378.5667406224402,1
81.94627372423808,2.03577209609377,0.10175975163777669,0.07583244367400212,5,128,4,800,1,0.01,"{'bagging_temperature': 5, 'border_count': 128, 'depth': 4, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",-31325.838829900902,-32660.78896954963,-32106.73178112515,-32031.1198601919,547.6074267681502,40
107.26248677571614,0.5838269471059436,0.09096042315165202,0.06924691123399888,5,128,10,800,1,0.1,"{'bagging_temperature': 5, 'border_count': 128, 'depth': 10, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",-31078.251058523914,-32524.720707237822,-32272.899263287305,-31958.62367634968,630.9492687326377,37
105.03398426373799,0.30750541212900806,0.02174075444539388,0.018584276546543307,5,128,10,800,1,0.05,"{'bagging_temperature': 5, 'border_count': 128, 'depth': 10, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",-30428.33235707298,-31860.926302268887,-31326.24417823113,-31205.167612524336,591.0871362867501,25
99.78380719820659,2.5450086432553904,0.007482290267944336,0.0014539585593944951,5,128,10,800,1,0.01,"{'bagging_temperature': 5, 'border_count': 128, 'depth': 10, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.01}",-30041.910413772952,-31577.2121482768,-31099.810555344895,-30906.311039131553,641.5446989227024,16
