mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_iterations,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3484.8666139443717,30.31573966339152,0.3177013397216797,0.11930584918386886,5,10000,0.05,"{'depth': 5, 'iterations': 10000, 'learning_rate': 0.05}",-29616.40639840578,-30770.863824329754,-30139.1426735736,-30175.47096543638,472.00479917051877,13
3521.041079123815,93.83223069718878,0.362167755762736,0.06290101512078698,5,10000,0.03,"{'depth': 5, 'iterations': 10000, 'learning_rate': 0.03}",-29259.08895582056,-30686.354752970896,-30173.158333160103,-30039.53401398385,590.2900461836724,8
3538.6721523602805,58.66091311235661,0.3775002161661784,0.10307228165770492,5,10000,0.01,"{'depth': 5, 'iterations': 10000, 'learning_rate': 0.01}",-29067.151936760827,-30423.29302990645,-29863.074908782502,-29784.506625149923,556.4227394851736,1
4025.4921170075736,19.42897064586977,0.38462400436401367,0.24034403717998085,6,10000,0.1,"{'depth': 6, 'iterations': 10000, 'learning_rate': 0.1}",-30222.411340015788,-31293.558645420522,-30864.334031781138,-30793.434672405816,440.15843877618227,34
4017.9246258735657,29.526429620351674,0.5847952365875244,0.06045889924428996,6,10000,0.08,"{'depth': 6, 'iterations': 10000, 'learning_rate': 0.08}",-30046.964016150327,-31254.731967480173,-30822.641996257036,-30708.112659962513,499.67561658801645,33
4035.635300795237,16.241737660708953,0.3319245974222819,0.04298524348634784,6,10000,0.06,"{'depth': 6, 'iterations': 10000, 'learning_rate': 0.06}",-29677.786357435365,-31050.523790457726,-30714.53254606244,-30480.947564651844,584.2507867121487,27
4027.0201228459678,18.279231139688925,0.5077033837636312,0.08781410369739814,6,10000,0.05,"{'depth': 6, 'iterations': 10000, 'learning_rate': 0.05}",-29586.812329334352,-30787.306696352483,-30416.4260899947,-30263.515038560512,501.8851286556832,17
4060.4670720100403,45.66867636666753,0.36524327596028644,0.1285219263775305,6,10000,0.03,"{'depth': 6, 'iterations': 10000, 'learning_rate': 0.03}",-29457.67834761414,-30799.057878608535,-30214.39275908282,-30157.04299510183,549.1153540706439,11
4046.54345480601,27.488743306129834,0.3089999357859294,0.2311061081542176,6,10000,0.01,"{'depth': 6, 'iterations': 10000, 'learning_rate': 0.01}",-29081.15589186444,-30388.94959204037,-29972.017149348532,-29814.040877751115,545.465224889622,3
4330.001923958461,13.618900387863638,0.3768646717071533,0.02962464124520818,7,10000,0.1,"{'depth': 7, 'iterations': 10000, 'learning_rate': 0.1}",-30317.678948383906,-31583.7686441273,-31541.99835806477,-31147.815316858658,587.2426993431676,36
4335.822718063991,6.119097282108955,0.38178062438964844,0.18470475570274522,7,10000,0.08,"{'depth': 7, 'iterations': 10000, 'learning_rate': 0.08}",-30066.26020930637,-31605.019167340735,-31202.443057444052,-30957.90747803038,651.5586542704785,35
4313.494571050008,20.71595065133035,0.3544809818267822,0.08008173096172444,7,10000,0.06,"{'depth': 7, 'iterations': 10000, 'learning_rate': 0.06}",-29890.203928720748,-31125.983123019825,-30836.360825764332,-30617.515959168304,527.7040591039607,31
4214.33953332901,41.07763491594632,0.2591862678527832,0.04938327796532819,7,10000,0.05,"{'depth': 7, 'iterations': 10000, 'learning_rate': 0.05}",-30024.883435655986,-31162.789049426312,-30729.84675780616,-30639.17308096282,468.95172688079805,32
4161.448536237081,15.78507100677968,0.20313326517740884,0.022254569509096173,7,10000,0.03,"{'depth': 7, 'iterations': 10000, 'learning_rate': 0.03}",-29552.87342922225,-30846.866362925928,-30406.547226141705,-30268.76233942996,537.1796312677219,18
4085.695536851883,21.272499387636795,0.1847249666849772,0.035869614295777216,7,10000,0.01,"{'depth': 7, 'iterations': 10000, 'learning_rate': 0.01}",-29304.555393710285,-30570.044113425432,-30147.08195783848,-30007.2271549914,526.0132757140373,7
